ID,Price
Cabai Merah Keriting/Aceh/2024-10-01,30484.236
Cabai Merah Keriting/Aceh/2024-10-02,30314.92
Cabai Merah Keriting/Aceh/2024-10-03,30157.686
Cabai Merah Keriting/Aceh/2024-10-04,30164.943
Cabai Merah Keriting/Aceh/2024-10-05,28674.398
Cabai Merah Keriting/Aceh/2024-10-06,28747.273
Cabai Merah Keriting/Aceh/2024-10-07,29506.816
Cabai Merah Keriting/Aceh/2024-10-08,29494.973
Cabai Merah Keriting/Aceh/2024-10-09,29141.873
Cabai Merah Keriting/Aceh/2024-10-10,28898.07
Cabai Merah Keriting/Aceh/2024-10-11,28531.715
Cabai Merah Keriting/Aceh/2024-10-12,28367.375
Cabai Merah Keriting/Aceh/2024-10-13,28382.201
Cabai Merah Keriting/Aceh/2024-10-14,28396.62
Cabai Merah Keriting/Aceh/2024-10-15,28248.768
Cabai Merah Keriting/Aceh/2024-10-16,28500.424
Cabai Merah Keriting/Aceh/2024-10-17,28517.754
Cabai Merah Keriting/Aceh/2024-10-18,28264.28
Cabai Merah Keriting/Aceh/2024-10-19,28283.988
Cabai Merah Keriting/Aceh/2024-10-20,28281.932
Cabai Merah Keriting/Aceh/2024-10-21,28114.768
Cabai Merah Keriting/Aceh/2024-10-22,26013.426
Cabai Merah Keriting/Aceh/2024-10-23,26057.592
Cabai Merah Keriting/Aceh/2024-10-24,23709.814
Cabai Merah Keriting/Aceh/2024-10-25,23250.334
Cabai Merah Keriting/Aceh/2024-10-26,23481.234
Cabai Merah Keriting/Aceh/2024-10-27,23155.4
Cabai Merah Keriting/Aceh/2024-10-28,23549.125
Cabai Merah Keriting/Aceh/2024-10-29,23786.58
Cabai Merah Keriting/Aceh/2024-10-30,23820.066
Cabai Merah Keriting/Aceh/2024-10-31,23431.193
Cabai Merah Keriting/Aceh/2024-11-01,25068.047
Cabai Merah Keriting/Aceh/2024-11-02,24840.213
Cabai Merah Keriting/Aceh/2024-11-03,24814.658
Cabai Merah Keriting/Aceh/2024-11-04,24958.186
Cabai Merah Keriting/Aceh/2024-11-05,24982.64
Cabai Merah Keriting/Aceh/2024-11-06,25248.803
Cabai Merah Keriting/Aceh/2024-11-07,25324.28
Cabai Merah Keriting/Aceh/2024-11-08,25076.125
Cabai Merah Keriting/Aceh/2024-11-09,24595.666
Cabai Merah Keriting/Aceh/2024-11-10,24581.287
Cabai Merah Keriting/Aceh/2024-11-11,25219.27
Cabai Merah Keriting/Aceh/2024-11-12,25603.67
Cabai Merah Keriting/Aceh/2024-11-13,25638.299
Cabai Merah Keriting/Aceh/2024-11-14,25101.08
Cabai Merah Keriting/Aceh/2024-11-15,24898.99
Cabai Merah Keriting/Aceh/2024-11-16,24691.979
Cabai Merah Keriting/Aceh/2024-11-17,24787.818
Cabai Merah Keriting/Aceh/2024-11-18,25581.043
Cabai Merah Keriting/Aceh/2024-11-19,25835.883
Cabai Merah Keriting/Aceh/2024-11-20,23723.799
Cabai Merah Keriting/Aceh/2024-11-21,22584.967
Cabai Merah Keriting/Aceh/2024-11-22,21993.826
Cabai Merah Keriting/Aceh/2024-11-23,22058.414
Cabai Merah Keriting/Aceh/2024-11-24,22009.676
Cabai Merah Keriting/Aceh/2024-11-25,22296.816
Cabai Merah Keriting/Aceh/2024-11-26,21868.164
Cabai Merah Keriting/Aceh/2024-11-27,21407.758
Cabai Merah Keriting/Aceh/2024-11-28,20415.234
Cabai Merah Keriting/Aceh/2024-11-29,20561.1
Cabai Merah Keriting/Aceh/2024-11-30,20711.992
Cabai Merah Keriting/Aceh/2024-12-01,22670.941
Cabai Merah Keriting/Aceh/2024-12-02,20948.145
Cabai Merah Keriting/Aceh/2024-12-03,21051.754
Cabai Merah Keriting/Aceh/2024-12-04,21362.902
Cabai Merah Keriting/Aceh/2024-12-05,20656.145
Cabai Merah Keriting/Aceh/2024-12-06,20641.03
Cabai Merah Keriting/Aceh/2024-12-07,21602.506
Cabai Merah Keriting/Aceh/2024-12-08,21617.998
Cabai Merah Keriting/Aceh/2024-12-09,22417.428
Cabai Merah Keriting/Aceh/2024-12-10,22227.785
Cabai Merah Keriting/Aceh/2024-12-11,21988.398
Cabai Merah Keriting/Aceh/2024-12-12,18996.32
Cabai Merah Keriting/Aceh/2024-12-13,18881.262
Cabai Merah Keriting/Aceh/2024-12-14,15521.441
Cabai Merah Keriting/Aceh/2024-12-15,15550.428
Cabai Merah Keriting/Aceh/2024-12-16,15255.337
Cabai Merah Keriting/Aceh/2024-12-17,15561.148
Cabai Merah Keriting/Aceh/2024-12-18,15271.724
Cabai Merah Keriting/Aceh/2024-12-19,14738.047
Cabai Merah Keriting/Aceh/2024-12-20,14263.761
Cabai Merah Keriting/Aceh/2024-12-21,14100.821
Cabai Merah Keriting/Aceh/2024-12-22,13569.349
Cabai Merah Keriting/Aceh/2024-12-23,14433.344
Cabai Merah Keriting/Aceh/2024-12-24,14061.019
Cabai Merah Keriting/Aceh/2024-12-25,13734.883
Cabai Merah Keriting/Aceh/2024-12-26,13136.185
Cabai Merah Keriting/Aceh/2024-12-27,12994.373
Cabai Merah Keriting/Aceh/2024-12-28,13430.938
Cabai Merah Keriting/Aceh/2024-12-29,13585.988
Cabai Merah Keriting/Aceh/2024-12-30,14345.583
Cabai Merah Keriting/Aceh/2024-12-31,13876.788
Cabai Merah Keriting/Bali/2024-10-01,20741.26
Cabai Merah Keriting/Bali/2024-10-02,20593.475
Cabai Merah Keriting/Bali/2024-10-03,20080.494
Cabai Merah Keriting/Bali/2024-10-04,20096.457
Cabai Merah Keriting/Bali/2024-10-05,20334.621
Cabai Merah Keriting/Bali/2024-10-06,20344.045
Cabai Merah Keriting/Bali/2024-10-07,21004.475
Cabai Merah Keriting/Bali/2024-10-08,21140.42
Cabai Merah Keriting/Bali/2024-10-09,21123.91
Cabai Merah Keriting/Bali/2024-10-10,20705.227
Cabai Merah Keriting/Bali/2024-10-11,20313.496
Cabai Merah Keriting/Bali/2024-10-12,20272.104
Cabai Merah Keriting/Bali/2024-10-13,20116.559
Cabai Merah Keriting/Bali/2024-10-14,20303.883
Cabai Merah Keriting/Bali/2024-10-15,20337.453
Cabai Merah Keriting/Bali/2024-10-16,20305.309
Cabai Merah Keriting/Bali/2024-10-17,20405.264
Cabai Merah Keriting/Bali/2024-10-18,20197.795
Cabai Merah Keriting/Bali/2024-10-19,19798.162
Cabai Merah Keriting/Bali/2024-10-20,19630.1
Cabai Merah Keriting/Bali/2024-10-21,19938.393
Cabai Merah Keriting/Bali/2024-10-22,19335.287
Cabai Merah Keriting/Bali/2024-10-23,19245.03
Cabai Merah Keriting/Bali/2024-10-24,19574.44
Cabai Merah Keriting/Bali/2024-10-25,18885.498
Cabai Merah Keriting/Bali/2024-10-26,19380.314
Cabai Merah Keriting/Bali/2024-10-27,19496.111
Cabai Merah Keriting/Bali/2024-10-28,17971.111
Cabai Merah Keriting/Bali/2024-10-29,18204.342
Cabai Merah Keriting/Bali/2024-10-30,18103.404
Cabai Merah Keriting/Bali/2024-10-31,18239.154
Cabai Merah Keriting/Bali/2024-11-01,20308.537
Cabai Merah Keriting/Bali/2024-11-02,19944.373
Cabai Merah Keriting/Bali/2024-11-03,19862.023
Cabai Merah Keriting/Bali/2024-11-04,19765.207
Cabai Merah Keriting/Bali/2024-11-05,18603.057
Cabai Merah Keriting/Bali/2024-11-06,18625.955
Cabai Merah Keriting/Bali/2024-11-07,19299.643
Cabai Merah Keriting/Bali/2024-11-08,19483.115
Cabai Merah Keriting/Bali/2024-11-09,21361.371
Cabai Merah Keriting/Bali/2024-11-10,21248.955
Cabai Merah Keriting/Bali/2024-11-11,21840.66
Cabai Merah Keriting/Bali/2024-11-12,22060.498
Cabai Merah Keriting/Bali/2024-11-13,21960.703
Cabai Merah Keriting/Bali/2024-11-14,21197.02
Cabai Merah Keriting/Bali/2024-11-15,21219.338
Cabai Merah Keriting/Bali/2024-11-16,20975.752
Cabai Merah Keriting/Bali/2024-11-17,21008.14
Cabai Merah Keriting/Bali/2024-11-18,21416.396
Cabai Merah Keriting/Bali/2024-11-19,21611.742
Cabai Merah Keriting/Bali/2024-11-20,22006.82
Cabai Merah Keriting/Bali/2024-11-21,21721.973
Cabai Merah Keriting/Bali/2024-11-22,21300.336
Cabai Merah Keriting/Bali/2024-11-23,21416.494
Cabai Merah Keriting/Bali/2024-11-24,21711.998
Cabai Merah Keriting/Bali/2024-11-25,20899.2
Cabai Merah Keriting/Bali/2024-11-26,20778.762
Cabai Merah Keriting/Bali/2024-11-27,20672.832
Cabai Merah Keriting/Bali/2024-11-28,20389.785
Cabai Merah Keriting/Bali/2024-11-29,20612.934
Cabai Merah Keriting/Bali/2024-11-30,20815.398
Cabai Merah Keriting/Bali/2024-12-01,20704.906
Cabai Merah Keriting/Bali/2024-12-02,22196.996
Cabai Merah Keriting/Bali/2024-12-03,22178.21
Cabai Merah Keriting/Bali/2024-12-04,22356.393
Cabai Merah Keriting/Bali/2024-12-05,22792.955
Cabai Merah Keriting/Bali/2024-12-06,23939.1
Cabai Merah Keriting/Bali/2024-12-07,24320.158
Cabai Merah Keriting/Bali/2024-12-08,24954.82
Cabai Merah Keriting/Bali/2024-12-09,25464.1
