ID,Price
Cabai Rawit Merah/Aceh/2024-10-01,54708.34
Cabai Rawit Merah/Aceh/2024-10-02,54283.15
Cabai Rawit Merah/Aceh/2024-10-03,54455.21
Cabai Rawit Merah/Aceh/2024-10-04,54660.832
Cabai Rawit Merah/Aceh/2024-10-05,54710.008
Cabai Rawit Merah/Aceh/2024-10-06,54594.223
Cabai Rawit Merah/Aceh/2024-10-07,54911.008
Cabai Rawit Merah/Aceh/2024-10-08,54906.9
Cabai Rawit Merah/Aceh/2024-10-09,55418.84
Cabai Rawit Merah/Aceh/2024-10-10,54909.723
Cabai Rawit Merah/Aceh/2024-10-11,54709.652
Cabai Rawit Merah/Aceh/2024-10-12,54862.062
Cabai Rawit Merah/Aceh/2024-10-13,54405.71
Cabai Rawit Merah/Aceh/2024-10-14,54795.844
Cabai Rawit Merah/Aceh/2024-10-15,55756.516
Cabai Rawit Merah/Aceh/2024-10-16,56439.945
Cabai Rawit Merah/Aceh/2024-10-17,56356.316
Cabai Rawit Merah/Aceh/2024-10-18,56045.56
Cabai Rawit Merah/Aceh/2024-10-19,56211.117
Cabai Rawit Merah/Aceh/2024-10-20,56268.035
Cabai Rawit Merah/Aceh/2024-10-21,56312.58
Cabai Rawit Merah/Aceh/2024-10-22,55847.742
Cabai Rawit Merah/Aceh/2024-10-23,56015.152
Cabai Rawit Merah/Aceh/2024-10-24,55804.19
Cabai Rawit Merah/Aceh/2024-10-25,55447.902
Cabai Rawit Merah/Aceh/2024-10-26,55468.473
Cabai Rawit Merah/Aceh/2024-10-27,55373.633
Cabai Rawit Merah/Aceh/2024-10-28,55506.965
Cabai Rawit Merah/Aceh/2024-10-29,55937.63
Cabai Rawit Merah/Aceh/2024-10-30,55213.773
Cabai Rawit Merah/Aceh/2024-10-31,55407.23
Cabai Rawit Merah/Aceh/2024-11-01,58314.23
Cabai Rawit Merah/Aceh/2024-11-02,57717.67
Cabai Rawit Merah/Aceh/2024-11-03,59522.445
Cabai Rawit Merah/Aceh/2024-11-04,59481.176
Cabai Rawit Merah/Aceh/2024-11-05,58235.25
Cabai Rawit Merah/Aceh/2024-11-06,58482.707
Cabai Rawit Merah/Aceh/2024-11-07,58478.598
Cabai Rawit Merah/Aceh/2024-11-08,58281.52
Cabai Rawit Merah/Aceh/2024-11-09,57317.637
Cabai Rawit Merah/Aceh/2024-11-10,56721.3
Cabai Rawit Merah/Aceh/2024-11-11,55866.66
Cabai Rawit Merah/Aceh/2024-11-12,56445.21
Cabai Rawit Merah/Aceh/2024-11-13,56463.926
Cabai Rawit Merah/Aceh/2024-11-14,56012.59
Cabai Rawit Merah/Aceh/2024-11-15,55950.684
Cabai Rawit Merah/Aceh/2024-11-16,55627.637
Cabai Rawit Merah/Aceh/2024-11-17,56170.363
Cabai Rawit Merah/Aceh/2024-11-18,55288.207
Cabai Rawit Merah/Aceh/2024-11-19,55229.285
Cabai Rawit Merah/Aceh/2024-11-20,55850.28
Cabai Rawit Merah/Aceh/2024-11-21,55635.91
Cabai Rawit Merah/Aceh/2024-11-22,55735.277
Cabai Rawit Merah/Aceh/2024-11-23,55569.188
Cabai Rawit Merah/Aceh/2024-11-24,56459.69
Cabai Rawit Merah/Aceh/2024-11-25,56255.52
Cabai Rawit Merah/Aceh/2024-11-26,58102.977
Cabai Rawit Merah/Aceh/2024-11-27,58114.07
Cabai Rawit Merah/Aceh/2024-11-28,57088.484
Cabai Rawit Merah/Aceh/2024-11-29,57362.844
Cabai Rawit Merah/Aceh/2024-11-30,56693.08
Cabai Rawit Merah/Aceh/2024-12-01,60020.75
Cabai Rawit Merah/Aceh/2024-12-02,56817.445
Cabai Rawit Merah/Aceh/2024-12-03,57164.73
Cabai Rawit Merah/Aceh/2024-12-04,56634.195
Cabai Rawit Merah/Aceh/2024-12-05,56984.445
Cabai Rawit Merah/Aceh/2024-12-06,56947.68
Cabai Rawit Merah/Aceh/2024-12-07,56903.938
Cabai Rawit Merah/Aceh/2024-12-08,56760.965
Cabai Rawit Merah/Aceh/2024-12-09,56367.21
Cabai Rawit Merah/Aceh/2024-12-10,55622.223
Cabai Rawit Merah/Aceh/2024-12-11,55854.113
Cabai Rawit Merah/Aceh/2024-12-12,54309.324
Cabai Rawit Merah/Aceh/2024-12-13,53991.09
Cabai Rawit Merah/Aceh/2024-12-14,53625.633
Cabai Rawit Merah/Aceh/2024-12-15,54717.043
Cabai Rawit Merah/Aceh/2024-12-16,53703.727
Cabai Rawit Merah/Aceh/2024-12-17,54127.13
