ID,Price
Daging Ayam Ras/Aceh/2024-10-01,29376.078
Daging Ayam Ras/Aceh/2024-10-02,29584.28
Daging Ayam Ras/Aceh/2024-10-03,29596.518
Daging Ayam Ras/Aceh/2024-10-04,29596.963
Daging Ayam Ras/Aceh/2024-10-05,29568.645
Daging Ayam Ras/Aceh/2024-10-06,29558.11
Daging Ayam Ras/Aceh/2024-10-07,29546.477
Daging Ayam Ras/Aceh/2024-10-08,29570.62
Daging Ayam Ras/Aceh/2024-10-09,29604.69
Daging Ayam Ras/Aceh/2024-10-10,29604.74
Daging Ayam Ras/Aceh/2024-10-11,29539.324
Daging Ayam Ras/Aceh/2024-10-12,29611.357
Daging Ayam Ras/Aceh/2024-10-13,29674.178
Daging Ayam Ras/Aceh/2024-10-14,29648.373
Daging Ayam Ras/Aceh/2024-10-15,29680.928
Daging Ayam Ras/Aceh/2024-10-16,29682.898
Daging Ayam Ras/Aceh/2024-10-17,29693.682
Daging Ayam Ras/Aceh/2024-10-18,29683.363
Daging Ayam Ras/Aceh/2024-10-19,29714.893
Daging Ayam Ras/Aceh/2024-10-20,29731.88
Daging Ayam Ras/Aceh/2024-10-21,29720.479
Daging Ayam Ras/Aceh/2024-10-22,29709.557
Daging Ayam Ras/Aceh/2024-10-23,29691.42
Daging Ayam Ras/Aceh/2024-10-24,29679.729
Daging Ayam Ras/Aceh/2024-10-25,29647.938
Daging Ayam Ras/Aceh/2024-10-26,29640.465
Daging Ayam Ras/Aceh/2024-10-27,29622.492
Daging Ayam Ras/Aceh/2024-10-28,29573.352
Daging Ayam Ras/Aceh/2024-10-29,29585.672
Daging Ayam Ras/Aceh/2024-10-30,29479.996
Daging Ayam Ras/Aceh/2024-10-31,29517.496
Daging Ayam Ras/Aceh/2024-11-01,29290.084
Daging Ayam Ras/Aceh/2024-11-02,29469.94
Daging Ayam Ras/Aceh/2024-11-03,29476.33
Daging Ayam Ras/Aceh/2024-11-04,29423.164
Daging Ayam Ras/Aceh/2024-11-05,29437.68
Daging Ayam Ras/Aceh/2024-11-06,29463.844
Daging Ayam Ras/Aceh/2024-11-07,29438.617
Daging Ayam Ras/Aceh/2024-11-08,29456.371
Daging Ayam Ras/Aceh/2024-11-09,29459.197
Daging Ayam Ras/Aceh/2024-11-10,29470.402
Daging Ayam Ras/Aceh/2024-11-11,29430.3
Daging Ayam Ras/Aceh/2024-11-12,29456.791
Daging Ayam Ras/Aceh/2024-11-13,29496.678
Daging Ayam Ras/Aceh/2024-11-14,29483.076
Daging Ayam Ras/Aceh/2024-11-15,29502.21
Daging Ayam Ras/Aceh/2024-11-16,29539.244
Daging Ayam Ras/Aceh/2024-11-17,29543.379
Daging Ayam Ras/Aceh/2024-11-18,29510.947
Daging Ayam Ras/Aceh/2024-11-19,29553.748
Daging Ayam Ras/Aceh/2024-11-20,29529.988
Daging Ayam Ras/Aceh/2024-11-21,29636.441
Daging Ayam Ras/Aceh/2024-11-22,29618.232
Daging Ayam Ras/Aceh/2024-11-23,29633.197
Daging Ayam Ras/Aceh/2024-11-24,29529.469
Daging Ayam Ras/Aceh/2024-11-25,29465.88
Daging Ayam Ras/Aceh/2024-11-26,29468.955
Daging Ayam Ras/Aceh/2024-11-27,29463.094
Daging Ayam Ras/Aceh/2024-11-28,29454.918
Daging Ayam Ras/Aceh/2024-11-29,29434.914
Daging Ayam Ras/Aceh/2024-11-30,29298.004
Daging Ayam Ras/Aceh/2024-12-01,29399.742
Daging Ayam Ras/Aceh/2024-12-02,29383.896
Daging Ayam Ras/Aceh/2024-12-03,29341.36
Daging Ayam Ras/Aceh/2024-12-04,29302.238
Daging Ayam Ras/Aceh/2024-12-05,29312.488
Daging Ayam Ras/Aceh/2024-12-06,29338.916
Daging Ayam Ras/Aceh/2024-12-07,29277.012
Daging Ayam Ras/Aceh/2024-12-08,29266.281
Daging Ayam Ras/Aceh/2024-12-09,29246.533
Daging Ayam Ras/Aceh/2024-12-10,29290.867
Daging Ayam Ras/Aceh/2024-12-11,29264.182
Daging Ayam Ras/Aceh/2024-12-12,29235.906
Daging Ayam Ras/Aceh/2024-12-13,29282.186
Daging Ayam Ras/Aceh/2024-12-14,29255.3
Daging Ayam Ras/Aceh/2024-12-15,29312.484
Daging Ayam Ras/Aceh/2024-12-16,29312.771
Daging Ayam Ras/Aceh/2024-12-17,29329.229
Daging Ayam Ras/Aceh/2024-12-18,29323.766
Daging Ayam Ras/Aceh/2024-12-19,29329.615
Daging Ayam Ras/Aceh/2024-12-20,29427.357
Daging Ayam Ras/Aceh/2024-12-21,29501.19
Daging Ayam Ras/Aceh/2024-12-22,29766.93
Daging Ayam Ras/Aceh/2024-12-23,29805.637
Daging Ayam Ras/Aceh/2024-12-24,29757.393
Daging Ayam Ras/Aceh/2024-12-25,29798.77
Daging Ayam Ras/Aceh/2024-12-26,30005.29
Daging Ayam Ras/Aceh/2024-12-27,30043.06
Daging Ayam Ras/Aceh/2024-12-28,29904.008
Daging Ayam Ras/Aceh/2024-12-29,30069.955
