ID,Price
Daging Sapi Murni/Aceh/2024-10-01,152884.17
Daging Sapi Murni/Aceh/2024-10-02,152761.62
Daging Sapi Murni/Aceh/2024-10-03,152843.97
Daging Sapi Murni/Aceh/2024-10-04,153079.39
Daging Sapi Murni/Aceh/2024-10-05,152987.89
Daging Sapi Murni/Aceh/2024-10-06,153129.08
Daging Sapi Murni/Aceh/2024-10-07,153035.53
Daging Sapi Murni/Aceh/2024-10-08,153216.44
Daging Sapi Murni/Aceh/2024-10-09,153138.55
Daging Sapi Murni/Aceh/2024-10-10,152640.16
Daging Sapi Murni/Aceh/2024-10-11,152882.38
Daging Sapi Murni/Aceh/2024-10-12,153073.05
Daging Sapi Murni/Aceh/2024-10-13,153213.27
Daging Sapi Murni/Aceh/2024-10-14,153121.94
Daging Sapi Murni/Aceh/2024-10-15,153115.38
Daging Sapi Murni/Aceh/2024-10-16,153204.38
Daging Sapi Murni/Aceh/2024-10-17,153343.72
Daging Sapi Murni/Aceh/2024-10-18,153382.86
Daging Sapi Murni/Aceh/2024-10-19,153288.8
Daging Sapi Murni/Aceh/2024-10-20,153318.67
Daging Sapi Murni/Aceh/2024-10-21,153248.83
Daging Sapi Murni/Aceh/2024-10-22,153132.62
Daging Sapi Murni/Aceh/2024-10-23,153267.66
Daging Sapi Murni/Aceh/2024-10-24,153229.52
Daging Sapi Murni/Aceh/2024-10-25,153410.56
Daging Sapi Murni/Aceh/2024-10-26,153189.72
Daging Sapi Murni/Aceh/2024-10-27,153325.6
Daging Sapi Murni/Aceh/2024-10-28,153055.61
Daging Sapi Murni/Aceh/2024-10-29,153057.42
Daging Sapi Murni/Aceh/2024-10-30,153154.1
Daging Sapi Murni/Aceh/2024-10-31,153108.08
Daging Sapi Murni/Aceh/2024-11-01,153102.81
Daging Sapi Murni/Aceh/2024-11-02,153001.42
Daging Sapi Murni/Aceh/2024-11-03,153303.4
Daging Sapi Murni/Aceh/2024-11-04,153053.11
Daging Sapi Murni/Aceh/2024-11-05,153015.66
Daging Sapi Murni/Aceh/2024-11-06,152855.67
Daging Sapi Murni/Aceh/2024-11-07,152963.9
Daging Sapi Murni/Aceh/2024-11-08,153062.42
Daging Sapi Murni/Aceh/2024-11-09,153257.45
Daging Sapi Murni/Aceh/2024-11-10,153086.44
Daging Sapi Murni/Aceh/2024-11-11,152717.03
Daging Sapi Murni/Aceh/2024-11-12,152883.2
Daging Sapi Murni/Aceh/2024-11-13,152832.66
Daging Sapi Murni/Aceh/2024-11-14,152921.16
Daging Sapi Murni/Aceh/2024-11-15,153034.16
Daging Sapi Murni/Aceh/2024-11-16,154180.86
Daging Sapi Murni/Aceh/2024-11-17,153484.72
Daging Sapi Murni/Aceh/2024-11-18,152942.75
Daging Sapi Murni/Aceh/2024-11-19,153190.89
Daging Sapi Murni/Aceh/2024-11-20,153268.62
Daging Sapi Murni/Aceh/2024-11-21,153273.22
Daging Sapi Murni/Aceh/2024-11-22,153430.31
Daging Sapi Murni/Aceh/2024-11-23,153349.42
Daging Sapi Murni/Aceh/2024-11-24,153455.98
Daging Sapi Murni/Aceh/2024-11-25,153215.06
Daging Sapi Murni/Aceh/2024-11-26,153230.61
Daging Sapi Murni/Aceh/2024-11-27,153277.2
Daging Sapi Murni/Aceh/2024-11-28,153231.5
Daging Sapi Murni/Aceh/2024-11-29,153376.28
Daging Sapi Murni/Aceh/2024-11-30,153270.61
Daging Sapi Murni/Aceh/2024-12-01,153229.39
Daging Sapi Murni/Aceh/2024-12-02,152936.55
Daging Sapi Murni/Aceh/2024-12-03,153119.52
Daging Sapi Murni/Aceh/2024-12-04,152827.62
Daging Sapi Murni/Aceh/2024-12-05,152873.9
Daging Sapi Murni/Aceh/2024-12-06,153198.94
Daging Sapi Murni/Aceh/2024-12-07,153131.03
Daging Sapi Murni/Aceh/2024-12-08,153212.25
Daging Sapi Murni/Aceh/2024-12-09,153130.8
Daging Sapi Murni/Aceh/2024-12-10,152668.34
Daging Sapi Murni/Aceh/2024-12-11,152578.88
Daging Sapi Murni/Aceh/2024-12-12,152929.7
Daging Sapi Murni/Aceh/2024-12-13,153042.73
Daging Sapi Murni/Aceh/2024-12-14,153171.78
Daging Sapi Murni/Aceh/2024-12-15,153421.77
Daging Sapi Murni/Aceh/2024-12-16,152974.6
Daging Sapi Murni/Aceh/2024-12-17,153071.61
Daging Sapi Murni/Aceh/2024-12-18,153003.05
Daging Sapi Murni/Aceh/2024-12-19,153037.89
Daging Sapi Murni/Aceh/2024-12-20,152931.9
Daging Sapi Murni/Aceh/2024-12-21,152992.22
