ID,Price
Minyak Goreng Curah/Aceh/2024-10-01,15636.554
Minyak Goreng Curah/Aceh/2024-10-02,15652.301
Minyak Goreng Curah/Aceh/2024-10-03,15637.211
Minyak Goreng Curah/Aceh/2024-10-04,15609.147
Minyak Goreng Curah/Aceh/2024-10-05,15599.439
Minyak Goreng Curah/Aceh/2024-10-06,15593.004
Minyak Goreng Curah/Aceh/2024-10-07,15631.928
Minyak Goreng Curah/Aceh/2024-10-08,15625.571
Minyak Goreng Curah/Aceh/2024-10-09,15624.31
Minyak Goreng Curah/Aceh/2024-10-10,15608.608
Minyak Goreng Curah/Aceh/2024-10-11,15594.965
Minyak Goreng Curah/Aceh/2024-10-12,15609.743
Minyak Goreng Curah/Aceh/2024-10-13,15582.892
Minyak Goreng Curah/Aceh/2024-10-14,15626.631
Minyak Goreng Curah/Aceh/2024-10-15,15617.5205
Minyak Goreng Curah/Aceh/2024-10-16,15617.992
Minyak Goreng Curah/Aceh/2024-10-17,15604.909
Minyak Goreng Curah/Aceh/2024-10-18,15594.867
Minyak Goreng Curah/Aceh/2024-10-19,15589.649
Minyak Goreng Curah/Aceh/2024-10-20,15556.681
Minyak Goreng Curah/Aceh/2024-10-21,15613.088
Minyak Goreng Curah/Aceh/2024-10-22,15636.303
Minyak Goreng Curah/Aceh/2024-10-23,15626.812
Minyak Goreng Curah/Aceh/2024-10-24,15605.356
Minyak Goreng Curah/Aceh/2024-10-25,15592.852
Minyak Goreng Curah/Aceh/2024-10-26,15574.885
Minyak Goreng Curah/Aceh/2024-10-27,15600.432
Minyak Goreng Curah/Aceh/2024-10-28,15673.072
Minyak Goreng Curah/Aceh/2024-10-29,15641.364
Minyak Goreng Curah/Aceh/2024-10-30,15709.279
Minyak Goreng Curah/Aceh/2024-10-31,15700.695
Minyak Goreng Curah/Aceh/2024-11-01,15619.09
Minyak Goreng Curah/Aceh/2024-11-02,15625.007
Minyak Goreng Curah/Aceh/2024-11-03,15594.6875
Minyak Goreng Curah/Aceh/2024-11-04,15621.094
Minyak Goreng Curah/Aceh/2024-11-05,15610.913
Minyak Goreng Curah/Aceh/2024-11-06,15612.713
Minyak Goreng Curah/Aceh/2024-11-07,15597.783
Minyak Goreng Curah/Aceh/2024-11-08,15581.491
Minyak Goreng Curah/Aceh/2024-11-09,15580.642
Minyak Goreng Curah/Aceh/2024-11-10,15575.684
Minyak Goreng Curah/Aceh/2024-11-11,15635.661
Minyak Goreng Curah/Aceh/2024-11-12,15616.781
Minyak Goreng Curah/Aceh/2024-11-13,15600.698
Minyak Goreng Curah/Aceh/2024-11-14,15616.998
Minyak Goreng Curah/Aceh/2024-11-15,15605.61
Minyak Goreng Curah/Aceh/2024-11-16,15605.564
Minyak Goreng Curah/Aceh/2024-11-17,15572.631
Minyak Goreng Curah/Aceh/2024-11-18,15613.219
Minyak Goreng Curah/Aceh/2024-11-19,15615.53
