ID,Price
Telur Ayam Ras/Aceh/2024-10-01,25488.414
Telur Ayam Ras/Aceh/2024-10-02,25487.562
Telur Ayam Ras/Aceh/2024-10-03,25411.52
Telur Ayam Ras/Aceh/2024-10-04,25408.27
Telur Ayam Ras/Aceh/2024-10-05,25370.99
Telur Ayam Ras/Aceh/2024-10-06,25382.99
Telur Ayam Ras/Aceh/2024-10-07,25491.322
Telur Ayam Ras/Aceh/2024-10-08,25466.033
Telur Ayam Ras/Aceh/2024-10-09,25482.305
Telur Ayam Ras/Aceh/2024-10-10,25462.676
Telur Ayam Ras/Aceh/2024-10-11,25381.377
Telur Ayam Ras/Aceh/2024-10-12,25353.969
Telur Ayam Ras/Aceh/2024-10-13,25336.58
Telur Ayam Ras/Aceh/2024-10-14,25365.621
Telur Ayam Ras/Aceh/2024-10-15,25361.732
Telur Ayam Ras/Aceh/2024-10-16,25384.494
Telur Ayam Ras/Aceh/2024-10-17,25381.91
Telur Ayam Ras/Aceh/2024-10-18,25347.2
Telur Ayam Ras/Aceh/2024-10-19,25298.824
Telur Ayam Ras/Aceh/2024-10-20,25259.498
Telur Ayam Ras/Aceh/2024-10-21,25270.504
Telur Ayam Ras/Aceh/2024-10-22,25222.98
Telur Ayam Ras/Aceh/2024-10-23,25213.861
Telur Ayam Ras/Aceh/2024-10-24,25221.416
Telur Ayam Ras/Aceh/2024-10-25,25226.732
Telur Ayam Ras/Aceh/2024-10-26,25118.78
Telur Ayam Ras/Aceh/2024-10-27,25079.43
Telur Ayam Ras/Aceh/2024-10-28,25124.691
Telur Ayam Ras/Aceh/2024-10-29,25164.314
Telur Ayam Ras/Aceh/2024-10-30,25131.34
Telur Ayam Ras/Aceh/2024-10-31,25123.055
Telur Ayam Ras/Aceh/2024-11-01,25156.746
Telur Ayam Ras/Aceh/2024-11-02,25183.773
Telur Ayam Ras/Aceh/2024-11-03,25179.145
Telur Ayam Ras/Aceh/2024-11-04,25153.457
Telur Ayam Ras/Aceh/2024-11-05,25174.719
Telur Ayam Ras/Aceh/2024-11-06,25191.469
Telur Ayam Ras/Aceh/2024-11-07,25166.742
Telur Ayam Ras/Aceh/2024-11-08,25176.225
Telur Ayam Ras/Aceh/2024-11-09,25281.182
Telur Ayam Ras/Aceh/2024-11-10,25242.045
Telur Ayam Ras/Aceh/2024-11-11,25190.127
Telur Ayam Ras/Aceh/2024-11-12,25363.535
Telur Ayam Ras/Aceh/2024-11-13,25364.305
Telur Ayam Ras/Aceh/2024-11-14,25373.951
Telur Ayam Ras/Aceh/2024-11-15,25379.006
Telur Ayam Ras/Aceh/2024-11-16,25484.824
Telur Ayam Ras/Aceh/2024-11-17,25488.4
Telur Ayam Ras/Aceh/2024-11-18,25467.932
Telur Ayam Ras/Aceh/2024-11-19,25560.12
Telur Ayam Ras/Aceh/2024-11-20,25590.633
Telur Ayam Ras/Aceh/2024-11-21,25590.303
Telur Ayam Ras/Aceh/2024-11-22,25672.307
Telur Ayam Ras/Aceh/2024-11-23,25645.395
Telur Ayam Ras/Aceh/2024-11-24,25649.812
Telur Ayam Ras/Aceh/2024-11-25,25660.574
Telur Ayam Ras/Aceh/2024-11-26,25690.654
Telur Ayam Ras/Aceh/2024-11-27,25702.879
Telur Ayam Ras/Aceh/2024-11-28,25671.299
Telur Ayam Ras/Aceh/2024-11-29,25706.95
Telur Ayam Ras/Aceh/2024-11-30,25704.748
Telur Ayam Ras/Aceh/2024-12-01,25782.576
Telur Ayam Ras/Aceh/2024-12-02,25761.701
Telur Ayam Ras/Aceh/2024-12-03,25764.465
Telur Ayam Ras/Aceh/2024-12-04,25750.658
Telur Ayam Ras/Aceh/2024-12-05,25714.668
Telur Ayam Ras/Aceh/2024-12-06,25839.68
Telur Ayam Ras/Aceh/2024-12-07,25867.152
Telur Ayam Ras/Aceh/2024-12-08,25864.766
Telur Ayam Ras/Aceh/2024-12-09,25868.023
Telur Ayam Ras/Aceh/2024-12-10,25867.824
Telur Ayam Ras/Aceh/2024-12-11,25823.002
Telur Ayam Ras/Aceh/2024-12-12,25824.09
Telur Ayam Ras/Aceh/2024-12-13,25839.363
Telur Ayam Ras/Aceh/2024-12-14,25826.059
