commodity,Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
Bawang Merah,2022-01-01,28970.0,20870.0,26890.0,26650.0,25240.0,35510.0,31740.0,23390.0,25800.0,24870.0,23120.0,29640.0,21910.0,31120.0,27450.0,33400.0,31650.0,30720.0,22720.0,41560.0,36000.0,18040.0,24830.0,50000.0,48610.0,29240.0,25160.0,24910.0,28030.0,30380.0,35750.0,23360.0,26670.0,28710.0
Bawang Merah,2022-01-02,29900.0,20710.0,25600.0,26950.0,25240.0,31850.0,30020.0,23550.0,26010.0,24630.0,23770.0,29610.0,24990.0,30500.0,28180.0,33200.0,31320.0,34680.0,23610.0,41300.0,37210.0,18230.0,29660.0,48200.0,50160.0,28750.0,24770.0,24360.0,27200.0,30260.0,35630.0,23790.0,25690.0,28460.0
Bawang Merah,2022-01-03,28970.0,20510.0,26390.0,27290.0,24620.0,34880.0,31250.0,23730.0,25910.0,24810.0,23390.0,29840.0,24760.0,30500.0,28430.0,33400.0,31850.0,33850.0,23000.0,41640.0,39900.0,17680.0,24780.0,44270.0,49510.0,27870.0,24140.0,24740.0,26750.0,30080.0,34980.0,22620.0,26270.0,28050.0
Bawang Merah,2022-01-04,29600.0,20180.0,26630.0,27450.0,24370.0,35260.0,31640.0,23300.0,25950.0,24910.0,23710.0,30110.0,25420.0,30350.0,30220.0,31690.0,30610.0,30720.0,22930.0,43990.0,36080.0,17810.0,25870.0,48200.0,49670.0,28330.0,24450.0,24710.0,28800.0,29950.0,34920.0,23010.0,26800.0,27800.0
Bawang Merah,2022-01-05,29540.0,19960.0,26610.0,27710.0,24210.0,35260.0,34010.0,23640.0,25700.0,24580.0,23330.0,30440.0,25570.0,30150.0,30220.0,33140.0,30990.0,33850.0,23670.0,43160.0,36440.0,17920.0,26000.0,44270.0,46590.0,28240.0,24640.0,24780.0,28990.0,30240.0,34000.0,23330.0,25360.0,27670.0
Bawang Merah,2022-01-06,29410.0,20350.0,26760.0,27150.0,24370.0,33490.0,35350.0,23920.0,25730.0,24640.0,23390.0,29920.0,25650.0,30000.0,28500.0,33140.0,29970.0,30900.0,22970.0,44400.0,36020.0,18940.0,25230.0,45790.0,49080.0,28520.0,24640.0,24790.0,29070.0,30230.0,34200.0,22740.0,25490.0,28370.0
Bawang Merah,2022-01-07,30960.0,19960.0,25830.0,26840.0,24200.0,30910.0,35330.0,23700.0,25670.0,24590.0,23100.0,29370.0,25820.0,29810.0,27850.0,33320.0,30720.0,32060.000000000004,23770.0,45180.0,37360.0,19050.0,25070.0,45300.0,49440.0,28960.0,24970.0,24360.0,29070.0,30300.0,34980.0,22430.0,25300.0,28100.0
Bawang Merah,2022-01-08,30550.0,19830.0,26030.0,26160.0,24200.0,33130.0,36550.0,23490.0,25720.0,24230.0,22820.0,30180.0,25900.0,30110.0,27170.0,33140.0,30420.0,32340.000000000004,23540.0,45570.0,36100.0,19290.0,24340.0,44260.0,49830.0,27340.0,24800.0,25260.0,29620.0,30470.0,37760.0,22730.0,24980.0,28080.0
Bawang Merah,2022-01-09,29840.0,19410.0,26460.0,26260.0,23660.0,33130.0,35630.0,24310.0,25830.0,24110.0,22300.0,30280.0,26040.0,30440.0,29070.0,33320.0,30850.0,34900.0,23430.0,46570.0,35700.0,19470.0,26180.0,52440.0,49220.0,27630.0,24460.0,24280.0,29570.0,30340.0,37680.0,22720.0,25570.0,27740.0
Bawang Merah,2022-01-10,29800.0,19700.0,26140.0,26260.0,23660.0,33130.0,36560.0,24310.0,25390.0,24720.0,22410.0,30070.0,25460.0,30220.0,26950.0,33990.0,30570.0,34520.0,23420.0,44530.0,36540.0,19530.0,26110.0,44260.0,49130.0,27630.0,24620.0,24360.0,28990.0,30670.0,38340.0,22060.0,25940.0,28060.0
Bawang Merah,2022-01-11,29660.0,19970.0,26460.0,26260.0,23660.0,33490.0,41960.0,24970.0,25310.0,24350.0,22740.0,31130.0,25760.0,29870.0,29790.0,34460.0,31240.0,35390.0,23140.0,47260.0,36590.0,19260.0,25230.0,44380.0,49390.0,27880.0,25680.0,24740.0,29080.0,30600.0,37220.0,22930.0,25700.0,27290.0
Bawang Merah,2022-01-12,30590.0,19970.0,26270.0,26460.0,23490.0,33200.0,41930.0,24500.0,25540.0,24000.0,22880.0,31130.0,25760.0,29990.0,30630.0,34770.0,30900.0,35390.0,23360.0,45840.0,35990.0,19050.0,25760.0,38730.0,48380.0,27500.0,25450.0,24970.0,29240.0,31020.0,37640.0,23430.0,25360.0,27460.0
Bawang Merah,2022-01-13,31130.0,19620.0,26300.0,26460.0,23770.0,33490.0,41430.0,24590.0,25270.0,24000.0,22490.0,30530.0,26180.0,29690.0,30540.0,35250.0,30630.0,35390.0,23270.0,47230.0,34360.0,19280.0,25140.0,43590.0,48680.0,27190.0,26600.0,24830.0,29220.0,30840.0,36570.0,23990.0,25190.0,28210.0
Bawang Merah,2022-01-14,31110.0,19940.0,25910.0,26360.0,23770.0,33490.0,41980.0,24420.0,25750.0,23510.0,22960.0,30800.0,26180.0,29530.0,30790.0,35250.0,30870.0,35390.0,23210.0,45910.0,35530.0,18340.0,25000.0,43340.0,49460.0,26780.0,27590.0,25410.0,29550.0,31120.0,37720.0,24030.0,25130.0,27920.0
Bawang Merah,2022-01-15,30410.0,19670.0,26270.0,26360.0,23770.0,34240.0,39250.0,24510.0,25740.0,23690.0,22980.0,30800.0,26010.0,30610.0,31460.0,35250.0,30610.0,35830.0,23000.0,47080.0,35570.0,18400.0,25040.0,42930.0,48930.0,26340.0,27110.0,25490.0,29910.0,31190.0,38430.0,23600.0,24840.0,28050.0
Bawang Merah,2022-01-16,29780.0,19170.0,24660.0,26360.0,23590.0,31140.0,39260.0,24510.0,25250.0,24030.0,22480.0,31200.0,25930.0,30200.0,31430.0,34430.0,30590.0,36910.0,22690.0,46450.0,36810.0,19200.0,24000.0,45170.0,50160.0,27260.0,27960.0,25320.0,29130.0,31410.0,38600.0,23130.0,25980.0,28880.0
Bawang Merah,2022-01-17,29920.0,19910.0,25310.0,26560.0,23400.0,34240.0,38720.0,24040.0,24720.0,24440.0,22040.0,30740.0,25800.0,30400.0,30890.0,34430.0,30590.0,37550.0,22220.0,46450.0,37760.0,19450.0,25230.0,43160.0,49330.0,27790.0,27640.0,26040.0,29480.0,31080.0,38730.0,23480.0,25420.0,28470.0
Bawang Merah,2022-01-18,30570.0,19620.0,25680.0,26560.0,23400.0,33490.0,38360.0,23790.0,25130.0,23940.0,22470.0,30390.0,26150.0,30590.0,31490.0,36090.0,30590.0,35240.0,23230.0,45970.0,36560.0,18910.0,25020.0,44390.0,49330.0,27570.0,27430.0,25300.0,30600.0,31500.0,37880.0,24840.0,25470.0,28240.0
Bawang Merah,2022-01-19,29980.0,20190.0,26880.0,26560.0,23400.0,33130.0,38950.0,23790.0,25600.0,23860.0,22260.0,30140.0,26150.0,29870.0,31440.0,37070.0,31200.0,37550.0,22590.0,45970.0,36860.0,18280.0,25900.0,44390.0,49330.0,27590.0,27430.0,25350.0,30050.0,32330.0,39040.0,25380.0,24710.0,28080.0
Bawang Merah,2022-01-20,29720.0,20190.0,26880.0,26850.0,23400.0,33130.0,38730.0,23520.0,25750.0,24240.0,22090.0,30140.0,25790.0,29340.0,30520.0,37070.0,31380.0,34620.0,22730.0,46560.0,36150.0,18630.0,25450.0,44610.0,49330.0,27930.0,28080.0,25460.0,30050.0,32980.0,38890.0,25850.0,24490.0,27490.0
Bawang Merah,2022-01-21,30270.0,19940.0,25910.0,26660.0,23390.0,32970.0,38160.0,23050.0,25470.0,24170.0,22390.0,30060.0,25790.0,29100.0,31690.0,37780.0,31960.0,36550.0,22650.0,46340.0,36050.0,19480.0,25930.0,45590.0,49020.0,28360.0,27920.0,25420.0,30510.0,33030.0,38080.0,26690.0,24870.0,27390.0
Bawang Merah,2022-01-22,30280.0,19280.0,27070.0,26660.0,23200.0,33330.0,38550.0,23160.0,25400.0,24570.0,22600.0,30290.0,25480.0,29100.0,31330.0,37070.0,31940.0,35530.0,22700.0,46730.0,36810.0,18990.0,25940.0,44060.0,49280.0,27970.0,27920.0,25890.0,30350.0,32920.0,37080.0,26210.0,24780.0,27460.0
Bawang Merah,2022-01-23,29490.0,19620.0,27400.0,26660.0,23400.0,32750.0,37710.0,23320.0,25740.0,24010.0,22380.0,30940.0,25650.0,29100.0,31860.0,37070.0,32120.0,33050.0,23210.0,45840.0,37310.0,19010.0,26000.0,46170.0,49540.0,28190.0,27390.0,25690.0,30720.0,32860.0,37480.0,26380.0,25110.0,27410.0
Bawang Merah,2022-01-24,29790.0,19080.0,27400.0,26760.0,23210.0,33130.0,37570.0,23350.0,25980.0,23920.0,22230.0,30060.0,25440.0,29250.0,31200.0,37780.0,31900.0,37080.0,23310.0,46410.0,37790.0,18910.0,26170.0,45190.0,48120.0,28010.0,27400.0,25270.0,30230.0,33410.0,37230.0,26020.0,24920.0,27840.0
Bawang Merah,2022-01-25,29610.0,19370.0,26400.0,26760.0,22330.0,33130.0,37450.0,22510.0,25470.0,24100.0,22420.0,30120.0,26430.0,29430.0,30810.0,38080.0,31710.0,36990.0,22870.0,46210.0,37570.0,19090.0,26730.0,45000.0,47500.0,27710.0,27400.0,25270.0,31050.0,33380.0,36300.0,25410.0,25280.0,28350.0
Bawang Merah,2022-01-26,29500.0,19720.0,27530.0,26850.0,23020.0,33800.0,36760.0,23650.0,25740.0,24140.0,22840.0,30980.0,25820.0,29120.0,30720.0,37850.0,30980.0,38000.0,23570.0,45730.0,37790.0,18770.0,26490.0,45390.0,47680.0,28530.0,26890.0,24950.0,31140.0,33330.0,36710.0,24890.0,25140.0,27940.0
Bawang Merah,2022-01-27,29530.0,19750.0,27050.0,27160.0,23400.0,32750.0,35440.0,23650.0,25560.0,23990.0,22480.0,30130.0,24640.0,29060.0,30720.0,38080.0,31280.0,36560.0,24040.0,45730.0,38010.0,18520.0,26050.0,45390.0,48150.0,28240.0,27420.0,24990.0,30610.0,32860.0,36710.0,24930.0,25330.0,28250.0
Bawang Merah,2022-01-28,29520.0,19710.0,27600.0,27160.0,24140.0,33520.0,33030.0,23370.0,25740.0,23790.0,22100.0,30130.0,26090.0,28740.0,30910.0,37510.0,30870.0,35880.0,23540.0,44890.0,38010.0,18880.0,26350.0,48270.0,48150.0,27760.0,27420.0,25470.0,30660.0,32730.0,36080.0,26290.0,25320.0,28560.0
Bawang Merah,2022-01-29,30070.0,19710.0,27120.0,27260.0,24040.0,33520.0,36210.0,23470.0,26050.0,23880.0,22340.0,30680.0,25750.0,28200.0,29110.0,37740.0,30870.0,37560.0,23760.0,46760.0,37740.0,18410.0,25420.0,44810.0,46790.0,28870.0,26600.0,25450.0,30200.0,32790.0,36160.0,25690.0,25320.0,27980.0
Bawang Merah,2022-01-30,29680.0,19860.0,26740.0,27160.0,24410.0,30940.0,36220.0,23560.0,25430.0,23940.0,22260.0,30050.0,25790.0,28390.0,27730.0,36610.0,30320.0,33950.0,23610.0,46760.0,37580.0,19010.0,25230.0,45180.0,48060.0,28220.0,27420.0,25580.0,29920.0,32480.0,36250.0,25220.0,25320.0,27820.0
Bawang Merah,2022-01-31,29820.0,19560.0,28020.0,27270.0,24770.0,33520.0,35420.0,23650.0,26120.0,24860.0,22530.0,30330.0,25540.0,28250.0,30260.0,36610.0,32350.0,36380.0,23810.0,46270.0,37960.0,18800.0,26050.0,44130.0,47770.0,28480.0,26910.0,25370.0,30050.0,32920.0,36120.0,25870.0,25700.0,28090.0
Bawang Merah,2022-02-01,29710.0,19520.0,28090.0,27250.0,24580.0,33520.0,35210.0,23650.0,26240.0,24720.0,22620.0,30350.0,25560.0,28200.0,29940.0,37080.0,33090.0,37560.0,23550.0,46020.0,37210.0,19000.0,25550.0,42980.0,48080.0,29330.0,26890.0,25510.0,30150.0,32210.0,38080.0,25570.0,26150.0,28680.0
Bawang Merah,2022-02-02,29200.0,19310.0,28040.0,27250.0,24960.0,33520.0,35910.0,23650.0,26970.0,25870.0,23130.0,30490.0,25270.0,28610.0,33220.0,36850.0,33390.0,36710.0,23780.0,47170.0,37800.0,18860.0,26380.0,44100.0,47350.0,28900.0,27630.0,25390.0,29960.0,32000.0,37890.0,25810.0,26380.0,28800.0
Bawang Merah,2022-02-03,29370.0,19690.0,29260.0,27250.0,24760.0,34390.0,37010.0,24320.0,26680.0,26790.0,23180.0,30280.0,25180.0,28430.0,30830.0,36850.0,32810.0,37240.0,24180.0,46560.0,37350.0,18960.0,26620.0,44070.0,46890.0,28730.0,26460.0,25200.0,30680.0,32100.0,37860.0,25830.0,26870.0,29040.0
Bawang Merah,2022-02-04,29390.0,20320.0,28970.0,27250.0,25300.0,34550.0,36860.0,23880.0,26780.0,27650.0,24450.0,30180.0,24910.0,28510.0,31800.0,37080.0,32950.0,33660.0,25440.0,47450.0,36550.0,19560.0,26700.0,42480.0,48410.0,29070.0,25570.0,25120.0,30550.0,31940.0,38170.0,25460.0,27320.0,28600.0
